order_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
1,Footwear,2572,23.8,Prepaid_Card,17,3,0,604.6,1,0,2,0
2,Electronics,16689,6.7,COD,104,3,0,166.4,9,0,2,0
3,Footwear,800,51.3,Prepaid_Card,103,3,0,418.8,8,0,3,0
4,Home,7930,49.7,COD,1479,33,4,143.1,5,0,3,1
5,Apparel,715,0,COD,95,0,0,335.5,3,1,2,0
6,Beauty,750,24.7,Prepaid_Card,102,2,0,126.1,3,0,4,0
7,Footwear,1444,32.6,Prepaid_Card,14,1,0,355.1,5,1,3,0
8,Footwear,4132,28.6,Prepaid_UPI,459,11,1,191.3,8,0,4,0
9,Apparel,1775,44.7,Prepaid_UPI,656,16,0,169.9,10,1,1,1
10,Electronics,21231,41.6,Prepaid_UPI,231,8,1,194.1,4,0,3,1
11,Electronics,43048,26,Prepaid_UPI,146,3,0,228.8,4,1,5,0
12,Beauty,274,56.2,Prepaid_UPI,59,2,0,253.6,4,1,4,0
13,Home,7181,36.1,COD,46,0,0,104.3,5,1,,0
14,Footwear,742,16.7,Prepaid_Card,139,8,2,269.9,3,1,1,1
15,Electronics,18332,13.7,COD,908,19,2,88,2,0,5,0
16,Apparel,497,40.7,COD,17,2,0,384.8,4,0,1,1
17,Home,7992,10.1,COD,1207,26,2,281.2,5,1,3,0
18,Apparel,2046,15.9,Prepaid_UPI,25,0,0,280.9,8,1,4,0
19,Footwear,2839,18.4,Prepaid_UPI,1780,39,5,352.9,2,1,3,0
20,Home,1977,27.3,Wallet,22,0,0,286.7,7,0,2,0
21,Footwear,1607,19.1,Wallet,111,0,0,526.1,4,1,5,1
22,Electronics,20890,2.2,Prepaid_UPI,434,12,2,127.3,4,0,1,0
23,Beauty,909,39.4,COD,237,6,1,101.4,1,1,5,0
24,Footwear,585,15.9,Prepaid_UPI,170,2,0,536.1,5,0,1,0
25,Footwear,3125,52.3,Prepaid_UPI,2486,56,5,287.3,5,1,1,1
26,Apparel,1504,26.6,Prepaid_UPI,1238,29,5,305.5,9,0,3,0
27,Electronics,40809,41,COD,321,6,1,119.8,4,1,3,1
28,Apparel,1258,31.5,COD,113,3,0,296.3,8,1,3,1
29,Apparel,1020,41.7,Wallet,372,10,0,213.9,4,0,3,0
30,Home,4239,30.6,COD,86,0,0,332.6,4,0,,0
31,Footwear,1279,25.5,COD,158,5,1,236,1,1,2,0
32,Beauty,1620,38.4,Prepaid_Card,304,7,1,213.4,7,0,2,0
33,Electronics,34927,59.3,COD,309,11,3,237.6,5,1,5,0
34,Electronics,7922,18,COD,231,6,0,156.9,4,1,5,0
35,Electronics,15145,33.9,Wallet,1001,21,2,178.7,4,1,3,0
36,Apparel,1962,21.9,Prepaid_UPI,96,2,0,430.1,5,1,2,0
37,Apparel,1310,29.6,Wallet,341,12,4,300.4,3,0,3,0
38,Electronics,24494,22.6,COD,231,4,2,205.6,5,1,,1
39,Apparel,1700,0,COD,180,5,0,299,2,1,1,0
40,Home,4750,19,Prepaid_Card,9,0,0,273.8,4,1,2,0
41,Electronics,4248,37,Prepaid_Card,250,8,0,181.6,6,0,2,1
42,Footwear,3716,10.5,COD,258,8,1,157,8,1,3,0
43,Home,7406,35.8,Prepaid_UPI,1304,29,2,178.1,5,1,,0
44,Apparel,496,24.8,Wallet,387,8,3,394.2,7,1,5,0
